,Name,Symbol,Sector,Market Cap Category,Market Capital,Close Price,Total Revenue,Promoters Holding,Return on Equity,Earnings Per Share,PE Ratio,PB Ratio,Dividend Yield,Debt to Equity,5 Year CAGR,Current Ratio,EBITDA,Net Profit Margin,Net Income,Revenue Growth
112,Fsn E-Commerce Ventures Ltd,NYKAA,Online Services,Mid Cap,42054.18,149.75,3800.91,52.34,4.48,0.18,1023.47,31.25,0.0,44.04,0.0,2.0,191.03,1.08,41.09,54.97
113,AU Small Finance Bank Ltd,AUBANK,Finance,Mid Cap,40757.57,623.25,6915.42,25.55,16.39,18.02,36.07,5.42,0.08,0.0,15.82,0.11,1594.23,16.34,1129.82,8.55
114,Patanjali Foods Ltd,PATANJALI,Packaged Foods and Meats,Mid Cap,34418.47,954.35,24284.39,80.82,15.25,27.26,42.69,5.42,0.0,55.4,0.0,2.82,1569.62,3.32,806.32,48.23
115,Schaeffler India Ltd,SCHAEFFLER,Automobiles,Large Cap,47898.48,2991.8,6960.08,74.13,18.52,56.3,54.48,13.11,0.78,1.66,22.15,2.88,1387.05,12.63,879.21,23.56
116,Muthoot Finance Ltd,MUTHOOTFIN,Finance,Mid Cap,38330.19,950.2,12237.46,73.35,23.02,100.1,9.54,2.0,2.09,285.13,19.6,0.63,5480.18,32.82,4016.61,5.77
117,Max Healthcare Institute Ltd,MAXHEALTH,Healthcare,Mid Cap,41688.77,425.45,4058.82,23.78,10.15,6.25,68.9,6.64,0.0,14.54,0.0,1.32,1060.89,14.91,605.05,54.95
118,Indian Railway Finance Corp Ltd,IRFC,Finance,Mid Cap,37245.24,28.2,20301.6,86.36,15.84,4.66,6.12,0.91,4.91,947.5,0.0,2.65,6104.18,30.0,6089.83,28.73
119,Zydus Lifesciences Ltd,ZYDUSLIFE,Pharmaceuticals,Large Cap,47244.63,472.95,17848.3,74.98,26.41,43.83,10.53,2.48,0.54,22.15,3.2,1.55,5923.8,25.14,4487.3,23.53
120,Ashok Leyland Ltd,ASHOKLEY,Automobiles,Mid Cap,42617.89,145.05,26772.99,51.53,-4.05,-1.22,-118.84,4.96,0.69,281.08,0.58,1.0,2535.42,-1.34,-358.61,33.55
121,Colgate-Palmolive Ltd,COLPAL,FMCG,Mid Cap,40733.93,1500.9,5126.04,51.0,74.35,39.65,37.78,23.48,2.67,4.79,7.27,1.37,1592.2,21.04,1078.32,5.22
